City,Category,Jaccard,b1_stars,b2_stars,b1_rev,b2_rev
Philadelphia,Restaurants,0.014583333333333334,4.5,4.0,183,304
Philadelphia,Restaurants,0.012919896640826873,4.5,3.5,183,209
Philadelphia,Restaurants,0.008771929824561403,4.5,4.0,183,622
Philadelphia,Restaurants,0.018867924528301886,4.5,4.0,183,249
Philadelphia,Restaurants,0.015060240963855422,4.5,4.0,183,154
Philadelphia,Restaurants,0.007042253521126761,4.5,4.0,183,818
Philadelphia,Restaurants,0.00684931506849315,4.5,4.0,183,552
Philadelphia,Restaurants,0.010882708585247884,4.5,3.5,183,653
Philadelphia,Restaurants,0.006844106463878327,4.5,3.5,183,1141
Philadelphia,Restaurants,0.007585335018963337,4.5,4.0,183,614
Philadelphia,Restaurants,0.011308562197092083,4.5,3.5,183,443
Philadelphia,Restaurants,0.020905923344947737,4.5,2.5,183,110
Philadelphia,Restaurants,0.005434782608695652,4.5,3.5,183,1112
Philadelphia,Restaurants,0.006067961165048544,4.0,4.0,46,783
Philadelphia,Restaurants,0.03546099290780142,4.0,3.5,46,100
Philadelphia,Restaurants,0.011583011583011582,4.5,4.5,66,458
Philadelphia,Restaurants,0.024930747922437674,4.5,4.0,66,304
Philadelphia,Restaurants,0.010670731707317074,3.0,4.0,178,485
Philadelphia,Restaurants,0.0062827225130890054,3.0,4.0,178,783
Philadelphia,Restaurants,0.011210762331838564,3.0,4.0,178,273
Philadelphia,Restaurants,0.009708737864077669,3.0,3.5,178,446
Philadelphia,Restaurants,0.011135857461024499,3.0,2.5,178,276
Philadelphia,Restaurants,0.011217948717948718,3.0,3.5,178,453
Philadelphia,Restaurants,0.01015228426395939,3.0,4.0,178,618
Philadelphia,Restaurants,0.012180267965895249,3.0,3.5,178,653
Philadelphia,Restaurants,0.009181331293037491,3.0,3.5,178,1141
Philadelphia,Restaurants,0.005208333333333333,3.0,3.5,178,787
Philadelphia,Restaurants,0.013050570962479609,3.0,3.5,178,443
Philadelphia,Restaurants,0.0176678445229682,3.0,2.5,178,110
Philadelphia,Restaurants,0.005455962587685113,3.0,3.5,178,1112
Philadelphia,Restaurants,0.006230529595015576,4.0,4.5,618,351
Philadelphia,Restaurants,0.019182652210175146,4.0,4.0,618,604
Philadelphia,Restaurants,0.011612903225806452,4.0,4.0,618,166
Philadelphia,Restaurants,0.02244039270687237,4.0,3.5,618,111
Philadelphia,Restaurants,0.009210526315789473,4.0,3.5,618,149
Philadelphia,Restaurants,0.011926605504587157,4.0,4.0,618,485
Philadelphia,Restaurants,0.007782101167315175,4.0,4.5,618,159
Philadelphia,Restaurants,0.04671857619577308,4.0,4.0,618,323
Philadelphia,Restaurants,0.012091898428053204,4.0,4.0,618,219
Philadelphia,Restaurants,0.00904977375565611,4.0,4.0,618,51
Philadelphia,Restaurants,0.013748191027496382,4.0,4.0,618,783
Philadelphia,Restaurants,0.0059031877213695395,4.0,4.0,618,234
Philadelphia,Restaurants,0.014207650273224045,4.0,4.5,618,310
Philadelphia,Restaurants,0.017326732673267328,4.0,3.5,618,615
Philadelphia,Restaurants,0.016210739614994935,4.0,3.5,618,385
Philadelphia,Restaurants,0.007918552036199095,4.0,4.0,618,273
Philadelphia,Restaurants,0.009857612267250822,4.0,4.0,618,304
Philadelphia,Restaurants,0.0125,4.0,4.5,618,192
Philadelphia,Restaurants,0.01034928848641656,4.0,4.5,618,163
Philadelphia,Restaurants,0.011056511056511056,4.0,4.5,618,205
Philadelphia,Restaurants,0.007239819004524887,4.0,4.0,618,495
Philadelphia,Restaurants,0.01592356687898089,4.0,3.5,618,339
Philadelphia,Restaurants,0.007614213197969543,4.0,4.0,618,176
Philadelphia,Restaurants,0.00927487352445194,4.0,4.5,618,579
Philadelphia,Restaurants,0.01968205904617714,4.0,4.0,618,729
Philadelphia,Restaurants,0.015018773466833541,4.0,4.5,618,193
Philadelphia,Restaurants,0.009580838323353293,4.0,3.0,618,225
Philadelphia,Restaurants,0.017227235438884332,4.0,4.0,618,622
Philadelphia,Restaurants,0.008438818565400843,4.0,4.0,618,338
Philadelphia,Restaurants,0.008333333333333333,4.0,4.0,618,108
Philadelphia,Restaurants,0.004721435316336166,4.0,3.5,618,446
Philadelphia,Restaurants,0.020190023752969122,4.0,4.5,618,241
Philadelphia,Restaurants,0.006342494714587738,4.0,3.0,618,334
Philadelphia,Restaurants,0.014388489208633094,4.0,4.5,618,510
Philadelphia,Restaurants,0.01092896174863388,4.0,3.5,618,307
Philadelphia,Restaurants,0.010377358490566037,4.0,3.5,618,453
Philadelphia,Restaurants,0.007102272727272727,4.0,5.0,618,91
Philadelphia,Restaurants,0.007342143906020558,4.0,4.5,618,68
Philadelphia,Restaurants,0.008225616921269096,4.0,4.0,618,240
Philadelphia,Restaurants,0.0191625266146203,4.0,4.0,618,818
Philadelphia,Restaurants,0.005393743257820928,4.0,4.0,618,314
Philadelphia,Restaurants,0.020942408376963352,4.0,4.0,618,552
Philadelphia,Restaurants,0.009174311926605505,4.0,4.5,618,372
Philadelphia,Restaurants,0.056500607533414335,4.0,4.5,618,1121
Philadelphia,Restaurants,0.006105006105006105,4.0,4.5,618,206
Philadelphia,Restaurants,0.006075334143377886,4.0,4.0,618,210
Philadelphia,Restaurants,0.004826254826254826,4.0,4.5,618,423
Philadelphia,Restaurants,0.007863695937090432,4.0,3.5,618,151
Philadelphia,Restaurants,0.010796221322537112,4.0,3.0,618,131
Philadelphia,Restaurants,0.015612161051766639,4.0,4.0,618,618
Philadelphia,Restaurants,0.010714285714285714,4.0,4.0,618,231
Philadelphia,Restaurants,0.011185682326621925,4.0,4.0,618,286
